checking_status,duration,loan_history,purpose,loan_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_loans,job,num_dependents,own_telephone,foreign_worker,accepted
<0DM,6,Critical_acct_other_loans_existing,radio/television,1169,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,real_estate,67,none,own,m22,skilled_employee/official,1,Yes,yes,2
0_to_200DM,48,Existing_loans_paid_till_now,radio/television,5951,<100DM,1_to_4yrs,2,female_divorced/separated/married,None,2,real_estate,22,none,own,e1,skilled_employee/official,1,No,yes,1
None,12,Critical_acct_other_loans_existing,education,2096,<100DM,4_to_7yrs,2,male_single,None,3,real_estate,49,none,own,1,unskilled_resident,2,No,yes,2
<0DM,42,Existing_loans_paid_till_now,furniture/equipment,7882,<100DM,4_to_7yrs,2,male_single,guarantor,4,building_society_savings_agreement/life_insurance,45,none,for_free,q1,skilled_employee/official,2,No,yes,2
<0DM,24,Delay_in_past,new_car,4870,<100DM,1_to_4yrs,3,male_single,None,4,unknown/no_property,53,none,for_free,p22,skilled_employee/official,2,No,yes,1
None,36,Existing_loans_paid_till_now,education,9055,Unknown_or_no_savings_acct,1_to_4yrs,2,male_single,None,4,unknown/no_property,35,none,for_free,1,unskilled_resident,2,Yes,yes,2
None,24,Existing_loans_paid_till_now,furniture/equipment,2835,500_to_1000DM,>7yrs,3,male_single,None,4,building_society_savings_agreement/life_insurance,53,none,own,e1,skilled_employee/official,1,No,yes,2
0_to_200DM,36,Existing_loans_paid_till_now,used_car,6948,<100DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,35,none,rent,i1,management_self-employed_highly_qualified/officer,1,Yes,yes,2
None,12,Existing_loans_paid_till_now,radio/television,3059,>1000DM,4_to_7yrs,2,male_divorced/separated,None,4,real_estate,61,none,own,1,unskilled_resident,1,No,yes,2
0_to_200DM,30,Critical_acct_other_loans_existing,new_car,5234,<100DM,unemployed,4,male_married/widowed,None,2,car_or_other_nonsavings,28,none,own,jc22,management_self-employed_highly_qualified/officer,1,No,yes,1
0_to_200DM,12,Existing_loans_paid_till_now,new_car,1295,<100DM,<1yr,3,female_divorced/separated/married,None,1,car_or_other_nonsavings,25,none,rent,w1,skilled_employee/official,1,No,yes,1
<0DM,48,Existing_loans_paid_till_now,business,4308,<100DM,<1yr,3,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,24,none,rent,r1,skilled_employee/official,1,No,yes,1
0_to_200DM,12,Existing_loans_paid_till_now,radio/television,1567,<100DM,1_to_4yrs,1,female_divorced/separated/married,None,1,car_or_other_nonsavings,22,none,own,1,skilled_employee/official,1,Yes,yes,2
<0DM,24,Critical_acct_other_loans_existing,new_car,1199,<100DM,>7yrs,4,male_single,None,4,car_or_other_nonsavings,60,none,own,22,unskilled_resident,1,No,yes,1
<0DM,15,Existing_loans_paid_till_now,new_car,1403,<100DM,1_to_4yrs,2,female_divorced/separated/married,None,4,car_or_other_nonsavings,28,none,rent,1,skilled_employee/official,1,No,yes,2
<0DM,24,Existing_loans_paid_till_now,radio/television,1282,100_to_500DM,1_to_4yrs,4,female_divorced/separated/married,None,2,car_or_other_nonsavings,32,none,own,g1,unskilled_resident,1,No,yes,1
None,24,Critical_acct_other_loans_existing,radio/television,2424,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,building_society_savings_agreement/life_insurance,53,none,own,j22,skilled_employee/official,1,No,yes,2
<0DM,30,No_loans_taken_or_all_paid,business,8072,Unknown_or_no_savings_acct,<1yr,2,male_single,None,3,car_or_other_nonsavings,25,bank,own,j333,skilled_employee/official,1,No,yes,2
0_to_200DM,24,Existing_loans_paid_till_now,used_car,12579,<100DM,>7yrs,4,female_divorced/separated/married,None,2,unknown/no_property,44,none,for_free,a1,management_self-employed_highly_qualified/officer,1,Yes,yes,1
None,24,Existing_loans_paid_till_now,radio/television,3430,500_to_1000DM,>7yrs,3,male_single,None,2,car_or_other_nonsavings,31,none,own,n1,skilled_employee/official,2,Yes,yes,2
None,9,Critical_acct_other_loans_existing,new_car,2134,<100DM,1_to_4yrs,4,male_single,None,4,car_or_other_nonsavings,48,none,own,km333,skilled_employee/official,1,Yes,yes,2
<0DM,6,Existing_loans_paid_till_now,radio/television,2647,500_to_1000DM,1_to_4yrs,2,male_single,None,3,real_estate,44,none,rent,1,skilled_employee/official,2,No,yes,2
<0DM,10,Critical_acct_other_loans_existing,new_car,2241,<100DM,<1yr,1,male_single,None,3,real_estate,48,none,rent,dgl22,unskilled_resident,2,No,no,2
0_to_200DM,12,Critical_acct_other_loans_existing,used_car,1804,100_to_500DM,<1yr,3,male_single,None,4,building_society_savings_agreement/life_insurance,44,none,own,l1,skilled_employee/official,1,No,yes,2
None,10,Critical_acct_other_loans_existing,furniture/equipment,2069,Unknown_or_no_savings_acct,1_to_4yrs,2,male_married/widowed,None,1,car_or_other_nonsavings,26,none,own,c22,skilled_employee/official,1,No,no,2
